material_diff,white_material,black_material,white_pawns,black_pawns,white_knights,black_knights,white_bishops,black_bishops,white_rooks,black_rooks,white_queens,black_queens,white_bishop_pair,black_bishop_pair,white_developed,black_developed,white_castled,black_castled,white_castled_on_move,black_castled_on_move,pawn_moves_white,pawn_moves_black,piece_moves_white,piece_moves_black,captures_white,captures_black,checks_white,checks_black,center_control_white,center_control_black,ext_center_white,ext_center_black,white_mobility,black_mobility,white_attacked_squares,black_attacked_squares,white_doubled_pawns,black_doubled_pawns,white_isolated_pawns,black_isolated_pawns,white_passed_pawns,black_passed_pawns,white_king_safety,black_king_safety,white_king_exposure,black_king_exposure,eco_category,result
4,31,27,6,5,1,1,1,0,2,2,1,1,0,0,4,4,1,1,8,7,7,7,18,18,6,4,0,0,2,3,10,12,35,33,35,33,0,0,1,1,0,0,2,1,2,0,3,1-0
1,12,11,4,6,1,0,0,0,1,1,0,0,0,0,4,4,0,1,0,12,9,6,16,19,8,9,0,4,1,2,7,7,24,21,23,23,0,0,1,0,0,0,3,3,0,0,2,1-0
-12,15,27,6,5,0,0,0,1,0,2,1,1,0,0,4,4,1,0,4,0,8,7,17,18,6,8,3,0,4,2,12,7,26,34,29,30,2,2,0,3,0,1,3,2,0,3,2,0-1
-2,26,28,4,6,0,1,1,0,2,2,1,1,0,0,4,4,1,1,12,9,11,7,14,18,5,7,2,0,2,2,9,10,31,41,30,39,0,0,1,1,0,1,3,3,1,0,2,0-1
-6,22,28,6,6,0,0,2,1,2,2,0,1,1,0,4,4,1,1,13,19,10,9,15,16,5,5,2,1,3,3,7,11,26,45,32,40,4,0,6,0,0,0,3,3,2,1,2,1-0
3,29,26,7,6,0,1,1,1,2,1,1,1,0,0,4,4,1,1,10,9,6,7,19,18,5,4,2,0,3,2,12,9,41,31,37,34,0,0,0,1,0,0,3,2,0,0,3,1-0
-6,9,15,6,7,1,1,0,0,0,1,0,0,0,0,3,4,1,1,8,8,7,5,18,20,6,8,0,4,3,3,7,9,10,30,17,31,0,2,1,2,0,0,2,3,2,0,0,0-1
-1,30,31,5,6,1,1,1,1,2,2,1,1,0,0,4,4,1,1,12,13,11,7,14,18,4,5,1,1,4,3,10,14,30,42,33,41,2,0,5,1,0,0,2,4,2,0,3,0-1
3,14,11,6,6,0,0,1,0,1,1,0,0,0,0,4,4,0,1,0,14,10,6,15,19,8,7,0,4,3,1,9,4,15,22,23,22,4,0,3,0,0,1,2,1,3,0,2,0-1
-2,19,21,6,5,1,1,0,1,2,2,0,0,0,0,4,4,1,1,12,6,11,8,14,17,6,6,1,2,2,2,9,7,2,32,28,30,0,0,0,0,0,0,2,2,3,0,3,0-1
-1,30,31,5,6,0,1,2,1,2,2,1,1,1,0,3,4,1,1,15,8,7,11,18,14,4,5,0,0,2,3,9,11,36,40,35,39,0,0,0,1,0,1,2,2,0,3,2,0-1
-7,11,18,3,5,0,0,1,1,1,2,0,0,0,0,4,4,0,1,0,8,8,5,17,20,7,10,0,4,2,1,8,7,30,24,30,27,0,2,1,2,1,2,1,3,2,1,2,0-1
-3,29,32,7,4,0,1,1,2,2,2,1,1,0,1,4,3,1,0,25,0,5,8,20,17,5,4,4,0,2,3,9,14,31,49,32,43,0,0,0,0,2,0,3,0,2,1,2,1-0
-7,9,16,6,7,1,0,0,0,0,0,0,1,0,0,3,4,1,1,10,9,6,8,19,17,7,8,1,5,2,2,5,8,9,25,13,30,0,0,0,0,0,0,2,2,1,0,3,0-1
0,28,28,6,6,0,0,1,1,2,2,1,1,0,0,4,4,1,1,13,7,10,8,15,17,5,5,0,1,3,2,11,10,33,25,37,32,2,4,1,4,1,0,2,2,2,0,3,1-0
5,23,18,6,5,1,1,0,0,1,2,1,0,0,0,4,4,1,1,10,6,6,6,19,19,7,6,4,1,4,1,15,6,42,19,42,23,0,0,0,2,0,0,2,2,0,4,2,0-1
4,31,27,6,5,0,1,2,0,2,2,1,1,1,0,4,4,1,1,17,9,8,5,17,20,6,4,0,1,4,1,14,8,58,30,45,30,0,0,1,3,0,0,3,2,2,2,3,0-1
2,10,8,7,5,0,0,1,1,0,0,0,0,0,0,4,4,1,1,11,15,4,10,21,15,9,7,7,0,3,2,9,7,17,15,22,18,0,0,0,1,0,0,3,0,0,0,2,1-0
-5,11,16,6,6,0,0,0,0,1,2,0,0,0,0,4,4,1,1,13,6,11,5,14,20,7,8,0,1,3,4,8,9,2,28,21,28,2,0,2,0,0,0,2,3,1,0,2,1-0
1,28,27,6,5,1,1,0,0,2,2,1,1,0,0,4,4,1,1,16,13,6,10,19,15,6,5,0,1,2,1,8,11,33,46,32,37,0,0,2,1,1,0,4,3,0,0,3,0-1
1,17,16,6,5,1,1,1,1,1,1,0,0,0,0,3,4,1,1,8,15,6,6,19,19,7,6,2,1,2,3,9,10,25,29,28,31,0,0,1,1,0,0,4,4,0,1,3,0-1
3,20,17,7,4,0,0,1,1,2,2,0,0,0,0,3,3,1,1,16,15,3,5,22,20,8,5,0,1,1,3,7,9,27,29,29,27,0,0,0,0,1,0,3,2,0,0,2,1-0
0,29,29,7,7,1,0,0,1,2,2,1,1,0,0,4,4,1,1,11,12,10,9,15,16,4,4,1,0,4,4,10,11,45,31,41,39,2,2,1,0,0,0,2,2,1,2,3,1-0
-5,21,26,5,7,0,0,2,0,2,2,0,1,1,0,4,4,1,1,14,9,11,9,14,16,5,6,0,1,2,4,7,11,29,53,31,40,0,0,2,0,0,1,3,3,0,0,3,1-0
1,26,25,4,3,1,0,0,1,2,2,1,1,0,0,4,4,1,0,14,0,6,7,19,18,8,7,2,0,2,2,9,12,45,29,40,36,0,0,1,1,0,0,3,2,1,4,2,1-0
-5,26,31,4,6,1,1,0,1,2,2,1,1,0,0,4,4,1,1,9,17,10,7,15,18,4,7,0,1,2,3,8,13,29,47,32,40,0,0,2,0,0,2,2,3,1,2,1,0-1
3,25,22,3,5,0,1,1,0,2,1,1,1,0,0,4,4,1,1,18,10,7,5,18,20,7,8,0,2,2,3,7,9,38,34,34,32,0,0,1,2,0,1,2,3,0,2,1,1-0
-7,8,15,5,7,0,0,1,1,0,1,0,0,0,0,4,4,0,1,0,11,10,7,15,18,6,9,1,3,2,2,7,10,12,30,17,33,0,0,1,0,0,0,1,3,3,0,3,0-1
-5,20,25,3,6,1,0,0,0,1,2,1,1,0,0,4,4,1,1,10,10,10,5,15,20,6,9,2,2,2,1,9,10,30,40,27,37,0,0,3,1,0,1,2,3,1,0,2,0-1
2,30,28,5,5,1,1,1,2,2,1,1,1,0,1,4,4,1,1,12,11,5,6,20,19,5,5,1,0,2,4,9,13,37,53,34,40,0,0,0,1,0,0,2,2,1,0,2,1-0
6,18,12,5,4,1,1,0,0,2,1,0,0,0,0,4,4,1,1,9,14,6,7,19,18,9,7,1,1,0,1,4,11,29,27,32,25,0,0,0,2,0,0,2,2,2,2,2,1-0
2,24,22,5,3,0,0,0,0,2,2,1,1,0,0,4,4,1,1,16,8,7,7,18,18,9,7,0,0,3,3,10,12,40,49,36,40,0,0,0,0,2,0,3,3,1,0,3,1-0
-1,9,10,4,5,0,0,0,0,1,1,0,0,0,0,4,4,1,1,13,13,11,10,14,15,9,10,0,2,2,0,7,5,20,12,24,18,0,0,0,2,0,0,0,2,0,2,2,1/2-1/2
18,24,6,5,1,1,0,2,0,2,1,0,0,1,0,3,4,1,0,20,0,9,12,16,13,13,5,4,1,3,3,9,9,42,16,42,18,0,0,1,1,3,0,4,0,1,5,3,1-0
-8,21,29,4,4,1,1,0,1,1,2,1,1,0,0,4,4,1,1,8,11,5,7,20,18,6,8,1,1,4,3,13,13,42,58,38,44,0,0,1,0,0,0,1,2,3,4,2,0-1
-11,12,23,4,7,1,1,0,1,1,2,0,0,0,0,4,4,0,1,0,9,5,4,20,21,4,9,0,5,2,2,7,9,20,38,25,40,0,2,1,0,0,1,3,3,3,0,2,0-1
1,18,17,7,6,0,1,2,1,1,1,0,0,1,0,4,4,0,1,0,13,7,9,18,16,6,5,3,0,4,3,10,9,35,27,34,30,0,2,0,3,0,0,4,3,4,0,0,1-0
0,30,30,5,5,1,1,1,1,2,2,1,1,0,0,4,3,1,0,16,0,6,6,19,19,5,5,12,0,3,3,12,12,56,33,45,36,2,0,2,0,0,0,3,2,1,5,2,1-0
-2,17,19,7,6,0,1,0,0,2,2,0,0,0,0,4,4,1,1,15,15,3,8,22,17,6,6,2,0,3,2,11,5,31,23,29,26,2,0,1,0,0,0,3,3,0,0,2,0-1
-8,13,21,5,5,1,1,0,1,1,2,0,0,0,0,4,4,0,1,0,24,7,7,18,18,6,8,0,5,2,2,6,11,10,45,18,41,0,0,2,1,0,0,3,2,4,0,1,0-1
0,13,13,3,3,0,0,0,0,2,2,0,0,0,0,4,4,1,1,10,11,8,7,17,18,10,10,1,0,2,1,6,7,23,26,27,25,0,0,0,3,0,1,3,2,1,3,2,1-0
-6,25,31,5,6,0,1,2,1,1,2,1,1,1,0,4,4,0,1,0,16,8,6,17,19,4,6,0,3,3,3,9,11,25,46,29,43,0,2,0,3,0,0,2,3,2,0,3,0-1
6,30,24,5,4,1,1,1,1,2,1,1,1,0,0,4,4,1,1,21,7,6,7,19,18,7,5,0,1,3,1,12,10,48,31,38,33,0,0,0,1,0,0,3,2,0,2,2,1-0
4,21,17,5,4,2,1,0,0,2,2,0,0,0,0,4,4,0,0,0,0,5,5,20,20,8,6,1,1,3,3,9,8,35,34,31,28,0,2,0,4,0,0,3,3,0,0,2,1-0
-2,17,19,5,7,0,1,1,0,0,0,1,1,0,0,3,4,1,1,18,9,10,4,15,21,6,8,0,5,2,2,11,7,3,27,31,29,2,0,1,0,0,1,2,3,2,2,3,0-1
4,28,24,6,7,0,1,1,0,2,1,1,1,0,0,4,4,0,1,0,8,8,9,17,16,5,5,1,1,3,3,12,11,37,33,39,37,0,0,0,0,0,0,1,3,2,2,3,1-0
-5,23,28,6,6,0,0,1,1,1,2,1,1,0,0,4,4,1,1,10,11,8,5,17,20,5,6,0,3,3,1,10,8,32,38,35,32,2,0,3,1,0,0,3,3,1,0,2,1-0
-4,20,24,6,5,0,0,0,0,1,2,1,1,0,0,4,4,1,1,8,7,8,6,17,19,7,7,2,0,3,3,9,11,34,23,33,33,2,0,0,0,0,1,2,2,0,1,3,0-1
-2,9,11,4,6,0,0,0,0,1,1,0,0,0,0,4,4,1,1,9,8,9,8,16,17,8,10,0,1,1,2,4,8,14,20,18,23,0,2,1,0,0,0,2,3,0,0,3,0-1
-4,17,21,4,5,0,1,1,1,2,2,0,0,0,0,4,4,0,1,0,14,12,6,13,19,6,8,0,3,2,3,7,10,24,48,28,35,0,0,2,0,1,0,0,3,3,0,2,0-1
-8,20,28,5,5,1,2,1,1,0,1,1,1,0,0,4,4,1,1,10,7,7,11,18,14,5,7,0,4,3,4,10,12,26,48,29,42,0,0,2,2,0,0,4,3,2,0,2,0-1
